agencycode,agencyname,bureaucode,bureauname,accountcode,accountname,treasurycode,subfunctioncode,subfunctiontitle,beacat,onoffbudget,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,2023y,y2024,y2025
1,Legislative Branch,5,Senate,171,Office of Senate Legal Counsel,0,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,5,Senate,172,"Expense allowances of the Secretary of the Senate, Sergeant at Arms, and Doorkeeper of the Senate and secretaries for the majority and for the minority of the Senat",0,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,5,Senate,183,Office of Senate fair employment practices,0,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,5,Senate,184,"Settlement and awards reserve, Senate",0,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,5,Senate,185,Office of the Legislative Counsel of the Senate,0,801,Legislative functions,D,On-budget,5000,5000,6000,6000,6000,6000,7000,7000,7000,7000,7000
1,Legislative Branch,5,Senate,188,"Congressional Use of Foreign Currency, Senate",0,801,Legislative functions,M,On-budget,0,8000,0,5000,4000,6000,6000,6000,6000,6000,6000
1,Legislative Branch,5,Senate,4052,Senate office of public records revolving fund,0,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,5,Senate,4062,Senate gift shop revolving fund,0,801,Legislative functions,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,5,Senate,9911,Senate Items,0,801,Legislative functions,D,On-budget,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
1,Legislative Branch,10,House of Representatives,0,House of Representatives,0,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,10,House of Representatives,200,Compensation of Members and Related Administrative Expenses,0,801,Legislative functions,M,On-budget,102000,102000,102000,102000,103000,103000,106000,104000,104000,104000,105000
1,Legislative Branch,10,House of Representatives,208,Mileage of Members,0,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,10,House of Representatives,215,Payment to Widows and Heirs of Deceased Members of Congress,0,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,10,House of Representatives,215,Payment to Widows and Heirs of Deceased Members of Congress,0,801,Legislative functions,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,10,House of Representatives,400,Salaries and Expenses,0,801,Legislative functions,D,On-budget,1181000,1181000,1189000,1185000,1233000,1371000,1531000,1531000,1531000,1531000,1531000
1,Legislative Branch,10,House of Representatives,410,"Salaries, officers and employees",0,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,10,House of Representatives,488,"Congressional Use of Foreign Currency, House of Representatives",0,801,Legislative functions,M,On-budget,0,9000,0,18000,0,9000,19000,9000,10000,10000,10000
1,Legislative Branch,10,House of Representatives,388540,Undistributed Intragovernmental Payments and Receivables from Cancelled Accounts,0,809,Deductions for offsetting receipts,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,10,House of Representatives,4006,Beauty shop (revolving fund),0,801,Legislative functions,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,10,House of Representatives,4007,House barber shops (revolving fund),0,801,Legislative functions,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,11,Joint Items,174,Capitol Guide Service and Special Services Office,0,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,11,Joint Items,180,Joint Committee on Printing,0,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,11,Joint Items,181,Joint Economic Committee,0,801,Legislative functions,D,On-budget,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
1,Legislative Branch,11,Joint Items,186,Joint Congressional Committee on Inaugural Ceremonies of 2013,0,801,Legislative functions,D,On-budget,0,1000,0,0,0,2000,0,0,0,0,0
1,Legislative Branch,11,Joint Items,190,Office of Congressional Accessibility Services,0,801,Legislative functions,D,On-budget,1000,1000,1000,1000,1000,2000,2000,2000,2000,2000,2000
1,Legislative Branch,11,Joint Items,420,Legislative Branch emergency response fund,0,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,11,Joint Items,425,Office of the Attending Physician,0,801,Legislative functions,D,On-budget,3000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
1,Legislative Branch,11,Joint Items,460,Joint Committee on Taxation,0,801,Legislative functions,D,On-budget,10000,10000,10000,11000,11000,12000,12000,12000,12000,12000,12000
1,Legislative Branch,11,Joint Items,322000,All Other General Fund Proprietary Receipts Including Budget Clearing Accounts,0,809,Deductions for offsetting receipts,M,On-budget,-1000,0,0,0,-1000,0,0,0,0,0,0
1,Legislative Branch,11,Joint Items,5083,United States Capitol Police memorial fund,0,801,Legislative functions,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,11,Joint Items,508310,United States Capitol Police Memorial Fund,0,801,Legislative functions,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,12,Office of Congressional Workplace Rights,0,Joint Items,0,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,12,Office of Congressional Workplace Rights,180,Joint Committee on Printing,0,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,12,Office of Congressional Workplace Rights,181,Joint Economic Committee,0,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,12,Office of Congressional Workplace Rights,186,Joint Committee on Inaugural Ceremonies of 1993,0,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,12,Office of Congressional Workplace Rights,199,"Statements of appropriations, Senate",0,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,12,Office of Congressional Workplace Rights,425,Office of the Attending Physician,0,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,12,Office of Congressional Workplace Rights,460,Joint Committee on Taxation,0,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,12,Office of Congressional Workplace Rights,499,Statements of appropriations,0,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,12,Office of Congressional Workplace Rights,825,Official mail costs,0,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,12,Office of Congressional Workplace Rights,1450,Awards and Settlements Funds,9,801,Legislative functions,D,On-budget,0,0,1000,0,0,0,0,0,0,0,0
1,Legislative Branch,12,Office of Congressional Workplace Rights,1600,Salaries and Expenses,9,801,Legislative functions,D,On-budget,4000,4000,4000,5000,6000,6000,8000,8000,8000,8000,8000
1,Legislative Branch,13,Capitol Police,461,Security Enhancements,2,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,13,Capitol Police,474,Salaries,2,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,13,Capitol Police,476,General Expenses,2,801,Legislative functions,D,On-budget,58000,70000,70000,79000,92000,85000,103000,104000,104000,104000,104000
1,Legislative Branch,13,Capitol Police,477,Salaries,2,801,Legislative functions,D,On-budget,289000,305000,323000,348000,365000,379000,417000,417000,417000,417000,417000
1,Legislative Branch,13,Capitol Police,700,Salaries and expenses,9,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,13,Capitol Police,8094,Contributions and donations,9,801,Legislative functions,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,13,Capitol Police,809410,"Contributions and donations, Office of Technology Assessment",9,801,Legislative functions,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,14,Congressional Budget Office,0,Congressional Budget Office,8,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,14,Congressional Budget Office,100,Salaries and Expenses,8,801,Legislative functions,D,On-budget,46000,47000,47000,50000,51000,55000,57000,57000,57000,57000,57000
1,Legislative Branch,15,Architect of the Capitol,0,Architect of the Capitol,,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,15,Architect of the Capitol,100,Capitol Construction and Operations,1,801,Legislative functions,D,On-budget,91000,92000,93000,93000,104000,120000,139000,139000,139000,139000,139000
1,Legislative Branch,15,Architect of the Capitol,102,Contingent expenses,1,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,15,Architect of the Capitol,105,Capitol Building,1,801,Legislative functions,D,On-budget,55000,47000,33000,45000,44000,69000,41000,41000,41000,41000,41000
1,Legislative Branch,15,Architect of the Capitol,108,Capitol Grounds,1,801,Legislative functions,D,On-budget,12000,12000,13000,13000,17000,15000,21000,21000,21000,21000,21000
1,Legislative Branch,15,Architect of the Capitol,109,West central front of the Capitol,1,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,15,Architect of the Capitol,110,Congressional Cemetery,1,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,15,Architect of the Capitol,123,Senate Office Buildings,1,801,Legislative functions,D,On-budget,94000,84000,88000,102000,94000,88000,91000,91000,91000,91000,91000
1,Legislative Branch,15,Architect of the Capitol,127,House Office Buildings,1,801,Legislative functions,D,On-budget,89000,175000,185000,212000,187000,153000,145000,145000,145000,145000,145000
1,Legislative Branch,15,Architect of the Capitol,133,Capitol Power Plant,1,801,Legislative functions,D,On-budget,91000,95000,87000,107000,114000,99000,122000,122000,122000,122000,122000
1,Legislative Branch,15,Architect of the Capitol,137,House Office Buildings Fund,1,801,Legislative functions,D,On-budget,0,0,0,-11000,-9000,-9000,-9000,-9000,-9000,-9000,-9000
1,Legislative Branch,15,Architect of the Capitol,155,Library Buildings and Grounds,1,801,Legislative functions,D,On-budget,42000,41000,47000,75000,69000,56000,111000,111000,111000,111000,111000
1,Legislative Branch,15,Architect of the Capitol,160,Capitol complex security enhancements,1,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,15,Architect of the Capitol,161,Capitol Visitor Center,1,801,Legislative functions,D,On-budget,21000,21000,21000,21000,23000,24000,25000,25000,25000,25000,25000
1,Legislative Branch,15,Architect of the Capitol,171,"Capitol Police Buildings, Grounds, and Security",1,801,Legislative functions,D,On-budget,19000,25000,20000,34000,58000,55000,71000,71000,71000,71000,71000
1,Legislative Branch,15,Architect of the Capitol,1833,House Historic Buildings Revitalization Trust Fund,1,801,Legislative functions,D,On-budget,70000,10000,17000,10000,10000,0,10000,10000,10000,10000,10000
1,Legislative Branch,15,Architect of the Capitol,322000,All Other General Fund Proprietary Receipts Including Budget Clearing Accounts,1,809,Deductions for offsetting receipts,M,On-budget,0,0,0,0,-1000,-2000,-2000,-2000,-2000,-2000,-2000
1,Legislative Branch,15,Architect of the Capitol,4518,Judiciary Office Building Development and Operations Fund,1,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,15,Architect of the Capitol,4518,Judiciary Office Building Development and Operations Fund,1,801,Legislative functions,M,On-budget,1000,-17000,-9000,-10000,-10000,0,0,17000,17000,17000,0
1,Legislative Branch,15,Architect of the Capitol,4607,Construction Reimbursement Fund,,801,Legislative functions,D,On-budget,0,0,0,0,0,0,3000,3000,3000,3000,3000
1,Legislative Branch,15,Architect of the Capitol,818910,Gifts and Donations,1,801,Legislative functions,M,On-budget,0,0,0,0,0,-1000,-1000,-1000,-1000,-1000,-1000
1,Legislative Branch,15,Architect of the Capitol,8205,Contributions from the U.S. Capitol Historical Society,1,503,Research and general education aids,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,18,Botanic Garden,200,Botanic Garden,9,801,Legislative functions,D,On-budget,16000,12000,14000,14000,15000,16000,21000,21000,21000,21000,21000
1,Legislative Branch,18,Botanic Garden,200,Botanic Garden,9,801,Legislative functions,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,18,Botanic Garden,8292,Gifts and Donations,9,801,Legislative functions,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,18,Botanic Garden,829210,"Gifts and Donations, Botanic Garden",9,801,Legislative functions,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,25,Library of Congress,0,Library of Congress,3,376,Other advancement of commerce,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,25,Library of Congress,101,"Salaries and Expenses, Library of Congress",3,503,Research and general education aids,D,On-budget,413000,420000,451000,471000,474000,498000,545000,545000,545000,545000,545000
1,Legislative Branch,25,Library of Congress,102,"Copyright Office, Salaries and Expenses",3,376,Other advancement of commerce,D,On-budget,21000,23000,23000,28000,44000,42000,50000,50000,50000,50000,50000
1,Legislative Branch,25,Library of Congress,102,"Copyright Office, Salaries and Expenses",3,376,Other advancement of commerce,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,25,Library of Congress,127,"Congressional Research Service, Salaries and Expenses",3,801,Legislative functions,D,On-budget,107000,107000,108000,120000,125000,120000,130000,130000,130000,130000,130000
1,Legislative Branch,25,Library of Congress,141,National Library Service For The Blind And Print Disabled,3,503,Research and general education aids,D,On-budget,50000,50000,50000,51000,54000,59000,61000,61000,61000,61000,61000
1,Legislative Branch,25,Library of Congress,143,"National film preservation board, Salaries and expenses",3,503,Research and general education aids,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,25,Library of Congress,144,Collection and distribution of library materials (special foreign currency program),3,503,Research and general education aids,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,25,Library of Congress,146,Furniture and Furnishings,3,503,Research and general education aids,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,25,Library of Congress,322000,All Other General Fund Proprietary Receipts Including Budget Clearing Accounts,3,809,Deductions for offsetting receipts,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,25,Library of Congress,388500,Undistributed Intragovernmental Payments,3,809,Deductions for offsetting receipts,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,25,Library of Congress,4543,Fedlink Program and Federal Research Program,3,503,Research and general education aids,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,25,Library of Congress,5075,Oliver Wendell Holmes devise fund,3,503,Research and general education aids,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,25,Library of Congress,507520,"Oliver Wendell Holmes Devise Fund, Interest",3,908,Other interest,N,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,25,Library of Congress,5175,Payments to Copyright Owners,3,376,Other advancement of commerce,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,25,Library of Congress,5175,Payments to Copyright Owners,3,376,Other advancement of commerce,M,On-budget,4000,4000,4000,4000,5000,6000,7000,7000,7000,8000,8000
1,Legislative Branch,25,Library of Congress,517520,"Interest on Investments in Public Debt Securities, Copyright Office",3,908,Other interest,N,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,25,Library of Congress,517521,"Unrealized Discount, Copyright Office",3,908,Other interest,N,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,25,Library of Congress,803110,"Contributions, Library of Congress Gift Fund",3,503,Research and general education aids,M,On-budget,-4000,-7000,-3000,-4000,-7000,-9000,-11000,-15000,-18000,-23000,-29000
1,Legislative Branch,25,Library of Congress,803121,"Income from Donated Securities, Library of Congress Gift Fund",3,902,Interest received by on-budget trust funds,N,On-budget,0,0,-1000,0,0,-1000,-1000,-1000,-1000,-1000,-1000
1,Legislative Branch,25,Library of Congress,803210,"Contributions, Library of Congress Permanent Loan Account",3,503,Research and general education aids,M,On-budget,-3000,-3000,-2000,-3000,-8000,-4000,-4000,-4000,-4000,-4000,-4000
1,Legislative Branch,25,Library of Congress,803221,"Income from Donated Securities, Library of Congress",3,908,Other interest,N,On-budget,-2000,-3000,-32000,-5000,-4000,-5000,-5000,-5000,-5000,-5000,-5000
1,Legislative Branch,25,Library of Congress,820810,"Deposits, Service Fees, Library of Congress",3,503,Research and general education aids,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,25,Library of Congress,8339,Foreign service national separation liability trust fund,3,602,Federal employee retirement and disability,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,25,Library of Congress,833910,Foreign Service National Separation Liability Trust Fund,3,602,Federal employee retirement and disability,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,25,Library of Congress,9971,Gift and Trust Fund Accounts,3,503,Research and general education aids,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,25,Library of Congress,9971,Gift and Trust Fund Accounts,3,503,Research and general education aids,M,On-budget,16000,13000,40000,12000,19000,19000,19000,18000,19000,18000,20000
1,Legislative Branch,30,Government Publishing Office,201,"Public Information Programs of the Superintendent of Documents, Salaries and Expenses",4,808,Other general government,D,On-budget,32000,31000,30000,29000,32000,31000,32000,32000,32000,32000,32000
1,Legislative Branch,30,Government Publishing Office,202,Printing and binding,4,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,30,Government Publishing Office,203,Congressional Publishing,4,801,Legislative functions,D,On-budget,80000,80000,80000,80000,79000,79000,78000,78000,78000,78000,78000
1,Legislative Branch,30,Government Publishing Office,208,Project planning,4,808,Other general government,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,30,Government Publishing Office,4505,Government Publishing Office Business Operations Revolving Fund,4,808,Other general government,D,On-budget,9000,7000,8000,9000,6000,7000,7000,7000,7000,7000,7000
1,Legislative Branch,30,Government Publishing Office,4505,Government Publishing Office Business Operations Revolving Fund,4,808,Other general government,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,35,Government Accountability Office,107,Salaries and Expenses,5,801,Legislative functions,D,On-budget,522000,531000,545000,593000,600000,630000,706000,706000,706000,706000,706000
1,Legislative Branch,35,Government Accountability Office,241300,Charges for Services to Public Enterprise Funds,5,803,Central fiscal operations,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,35,Government Accountability Office,514400,"Payment for space and services, GAO",5,801,Legislative functions,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,35,Government Accountability Office,820800,"Deposits, service fees, Library of Congress",5,503,Research and general education aids,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,35,Government Accountability Office,8269,Contributions,5,801,Legislative functions,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,35,Government Accountability Office,826910,"Contributions, Government Accountability Office",5,801,Legislative functions,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,40,United States Tax Court,100,Salaries and Expenses,23,752,Federal litigative and judicial activities,D,On-budget,51000,51000,51000,51000,52000,53000,59000,59000,59000,59000,59000
1,Legislative Branch,40,United States Tax Court,5023,"Tax courts independent counsel, U.S. Tax Court",23,752,Federal litigative and judicial activities,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,40,United States Tax Court,5633,U. S. Tax Court Fees,23,752,Federal litigative and judicial activities,D,On-budget,0,1000,1000,0,0,0,0,0,0,0,0
1,Legislative Branch,40,United States Tax Court,5633,U. S. Tax Court Fees,23,752,Federal litigative and judicial activities,M,On-budget,0,0,0,1000,1000,2000,1000,1000,1000,1000,1000
1,Legislative Branch,40,United States Tax Court,8115,Tax Court Judges Survivors Annuity Fund,23,602,Federal employee retirement and disability,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,40,United States Tax Court,8115,Tax Court Judges Survivors Annuity Fund,23,602,Federal employee retirement and disability,M,On-budget,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000
1,Legislative Branch,45,Legislative Branch Boards and Commissions,110,Commission on Security and Cooperation in Europe: Salaries and expenses,9,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,45,Legislative Branch Boards and Commissions,145,Open World Leadership Center Trust Fund,9,154,Foreign information and exchange activities,D,On-budget,6000,7000,6000,6000,6000,6000,6000,6000,6000,6000,6000
1,Legislative Branch,45,Legislative Branch Boards and Commissions,310,Copyright Royalty Tribunal: Salaries and expenses,9,376,Other advancement of commerce,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,45,Legislative Branch Boards and Commissions,310,Copyright Royalty Tribunal: Salaries and expenses,9,376,Other advancement of commerce,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,45,Legislative Branch Boards and Commissions,400,Biomedical Ethics: Salaries and expenses,9,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,45,Legislative Branch Boards and Commissions,500,International Conferences and Contingencies: House and Senate expenses,9,801,Legislative functions,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,45,Legislative Branch Boards and Commissions,600,Cost-Accounting Standards Board: Salaries and expenses,,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,45,Legislative Branch Boards and Commissions,650,Commission on Immigration Reform,95,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,45,Legislative Branch Boards and Commissions,800,Railroad Accounting Principles Board: Salaries and expenses,9,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,45,Legislative Branch Boards and Commissions,850,Commission on Railroad Retirement Reform,48,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,45,Legislative Branch Boards and Commissions,900,Payment to the Congressional Award Board,9,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,45,Legislative Branch Boards and Commissions,1100,United States Bipartisan Commission on Comprehensive Health Care,9,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,45,Legislative Branch Boards and Commissions,1300,National Commission on Acquired Immune Deficiency Syndrome,9,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,45,Legislative Branch Boards and Commissions,1400,National Commission on Children,9,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,45,Legislative Branch Boards and Commissions,1500,National Commission to Prevent Infant Mortality,48,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,45,Legislative Branch Boards and Commissions,1501,National Commission on Terrorist Attacks upon the United States,9,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,45,Legislative Branch Boards and Commissions,1550,Medicare Payment Advisory Commission,48,571,Medicare,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,45,Legislative Branch Boards and Commissions,1550,Medicare Payment Advisory Commission,48,571,Medicare,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,45,Legislative Branch Boards and Commissions,1700,"Dwight David Eisenhower Centennial Commission, expenses",76,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,45,Legislative Branch Boards and Commissions,1801,Medicaid and CHIP Payment and Access Commission,9,551,Health care services,D,On-budget,8000,8000,8000,8000,8000,9000,9000,9000,9000,9000,9000
1,Legislative Branch,45,Legislative Branch Boards and Commissions,1801,Medicaid and CHIP Payment and Access Commission,9,551,Health care services,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,45,Legislative Branch Boards and Commissions,2050,Census Monitoring Board,48,376,Other advancement of commerce,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,45,Legislative Branch Boards and Commissions,2101,Gambling Impact Study Commission,48,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,45,Legislative Branch Boards and Commissions,2850,Commission on the advancement of Federal law enforcement,48,751,Federal law enforcement activities,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
